epoch,OA,Precision,Recall,Kappa_score,F1_Score
0,0.9118849311831768,0.2252942786750616,0.47786326026999565,0.26559835254606656,0.3062183154271894
1,0.9135152696556206,0.23143015521064303,0.4848308898243577,0.273270505156185,0.31330613010646785
2,0.9154468663240594,0.23879546893688877,0.49266947307301495,0.28233528548469666,0.32167567055255425
3,0.9175025104849667,0.24694271615533148,0.5012338510669183,0.2922862037856808,0.33087389804522804
4,0.9197708074901058,0.2558546727949223,0.5090724343155756,0.3027874217061366,0.3405515634103709
5,0.9224289680430031,0.26654700471168946,0.5173464944113805,0.31503472619100525,0.3518262586377097
6,0.9258255065272609,0.28132716049382717,0.5292495282334156,0.33186922685452847,0.3673736712176936
7,0.9299072597318211,0.29939540507859735,0.5391203367687618,0.35103129043737347,0.38499015237897793
8,0.9340894323350464,0.3192786385572771,0.5473943968645667,0.3709812005493155,0.4033155080213904
9,0.9379703467422765,0.33949520085318163,0.5545071853679779,0.3903711202106973,0.4211454715837054
10,0.9415204678362573,0.35994045957763515,0.5616199738713892,0.4094196305118829,0.43871187209434176
11,0.9455077086656034,0.38557993730407525,0.5713456234576861,0.4328731376602867,0.460431654676259
12,0.9486915943056294,0.4083817681248088,0.5813615909420816,0.453636399912244,0.4797556300910397
13,0.9507177033492823,0.4241602336741081,0.5902162868340833,0.46842349256727167,0.4935963581183612
14,0.9515801287731113,0.43136020151133503,0.5966032805922485,0.47594690794138705,0.5007004933909972
15,0.9522771575403154,0.43764409976944035,0.6061837712294963,0.4839152480782527,0.5083074675917473
16,0.9529446511902653,0.4435001573811772,0.613586877631006,0.49080498367179304,0.5148599269183922
17,0.9535944237698624,0.44935581858175344,0.6227318914211061,0.4983076378192721,0.5220248235580434
18,0.9541142418335401,0.45392598804906176,0.6285382493830745,0.5036944892039971,0.5271487703920136
19,0.9546104318034142,0.45843354595838126,0.6363768326317317,0.5097518928003223,0.5329443228786774
20,0.9551243428436411,0.4630711454204048,0.6443605748294382,0.5159550848655834,0.5388770864946889
21,0.9555082993679485,0.4665487462282801,0.6508927275366526,0.5207977663074227,0.5435151515151515
22,0.9559040699391577,0.4700124947938359,0.6552474960081289,0.5248660705103617,0.547383738555751
23,0.9564179809793845,0.47456039954219126,0.6620699666134418,0.5305955814944456,0.5528484848484849
24,0.9568137515505937,0.4780345617322507,0.6665698940339672,0.5347223035008897,0.5567747802364353
25,0.957203615098352,0.4814389989572471,0.6701988677601974,0.538490908234839,0.5603495357728018
26,0.9574753381770925,0.4838339591155611,0.67339236463928,0.5413674500254538,0.5630879407659162
27,0.9579124579124579,0.4876413908671973,0.6758600667731166,0.5450167519808189,0.5665267384559226
28,0.9583318565774707,0.49134221849092247,0.679634199448396,0.5490480148597968,0.5703496162748203
29,0.9586567428672692,0.4942226890756303,0.6829728552765278,0.5523274765279145,0.5734657809738558
30,0.958969815110166,0.49699905233231545,0.685150239512266,0.5551162641264558,0.5761015501037472
31,0.959324236517219,0.5001583113456465,0.6879082595442009,0.5583875776044476,0.5791982400391101
32,0.9597022860180755,0.5035438485136994,0.6909565974742343,0.5619242424133111,0.58254803573614
33,0.9599858231437178,0.5060840122738335,0.6942952533023661,0.5649552440427568,0.5854345165238678
34,0.9603461515742218,0.5093378607809848,0.6967629554362026,0.5681849976878307,0.5884877091889904
35,0.9606415027467659,0.5120187194213996,0.6987951807228916,0.5708433625525359,0.5910011662881345
36,0.9609250398724083,0.5146304997864161,0.6995209754681376,0.5729748925950129,0.5929982157140221
37,0.9612203910449525,0.5173336186603895,0.7018435186529249,0.5757497493480019,0.5956267323683401
38,0.9616516037568669,0.5213693616105071,0.7030047902453186,0.5790428286256297,0.5987143033749536
39,0.9620887234922323,0.5254842549507629,0.7048918565829584,0.5826479076969346,0.6021078735275884
40,0.962454958946187,0.5289516567083107,0.7067789229205981,0.5857889088158413,0.6050702125015534
41,0.9627030539311241,0.531328320802005,0.7077950355639425,0.5878351115380136,0.6069961409187102
42,0.9628152873766909,0.532430661716532,0.7077950355639425,0.5886066762392644,0.607714837664361
43,0.9631578947368421,0.5357769973661106,0.7086659892582378,0.591268384859104,0.6102118617586402
44,0.9635536653080513,0.5396405336861837,0.7104078966468282,0.5946097306402476,0.6133600701842336
45,0.9638253883867919,0.5423353624792474,0.7112788503411235,0.5968046899172269,0.6154232604873148
46,0.9640616693248272,0.544687465304763,0.7121498040354188,0.5987587523988926,0.617262204328133
47,0.9642447870518046,0.546527159394479,0.7127304398316157,0.6002461915377616,0.6186606186606186
48,0.9645519522712506,0.5495425128319571,0.7149078240673538,0.6031507222578698,0.6214118983029463
49,0.9648295823734421,0.5522755227552275,0.7169400493540427,0.6058038682973828,0.6239262253663466
50,0.9650422352176738,0.5544343536270883,0.7178110030483379,0.6076145746112891,0.6256325910931174
51,0.9651899108039459,0.5559299191374663,0.7185367977935839,0.6089148676080081,0.6268600012663837
52,0.9653494004371197,0.5574783683559951,0.7201335462331253,0.6105880062123552,0.628451988852293
53,0.9655679603048024,0.5596981302095067,0.721294817825519,0.6125480585448562,0.6303037990740155
54,0.9657747061255834,0.5617736658016473,0.722746407316011,0.6145214389269897,0.6321736922295582
55,0.9659637308760116,0.5637083097795365,0.7237625199593555,0.6162282374439629,0.6337867039532223
56,0.9661586626498907,0.5657000453103761,0.7249237915517491,0.6180288728321872,0.6354902335051218
57,0.9663417803768681,0.5675553034600114,0.726230222093192,0.6197930193756942,0.6371625063678044
58,0.9664835489396892,0.5690262470173844,0.7269560168384381,0.6210692770694717,0.6383683875079669
