epoch,OA,Precision,Recall,Kappa_score,F1_Score
0,0.8813187702265373,0.05575879904125142,0.05795961185418306,-0.006461581313215836,0.056837909085063976
1,0.8812216828478965,0.05522632707098726,0.057435090479937057,-0.007042644802250919,0.056309057016134215
2,0.8811569579288026,0.05348337337210773,0.05546813532651455,-0.00892608305592657,0.0544576762149984
3,0.8813187702265373,0.053845179272773346,0.05573039601363756,-0.00852394023758718,0.05477157033314002
4,0.8814644012944984,0.05328754928144474,0.05494361395226856,-0.009110921782961912,0.05410291174381819
5,0.8816100323624595,0.052268370607028755,0.053632310516653556,-0.010188859262307615,0.05294155718076501
6,0.8819012944983818,0.05239501733658662,0.05350118017309206,-0.010026272059120878,0.05294232141698566
7,0.8821601941747573,0.05284186106457018,0.053763440860215055,-0.009526599556723303,0.05329866753331167
8,0.8822411003236246,0.053140719721398166,0.05402570154733805,-0.009201389027964968,0.05357955653813642
9,0.8824595469255664,0.054249547920433995,0.05507474429583006,-0.008003229740471074,0.05465903175429464
10,0.8827588996763754,0.05623787976729153,0.05704169944925256,-0.005864289497103714,0.056636937699368534
11,0.8830097087378641,0.0587551652892562,0.05966430632048256,-0.0031631247855772315,0.05920624593363695
12,0.8833009708737865,0.061192873741285826,0.06215578284815106,-0.0005439284776682651,0.06167056986729118
13,0.8837702265372168,0.06616889804325438,0.06740099659061106,0.004810651065225935,0.06677926464856439
14,0.884425566343042,0.07176848874598071,0.07317073170731707,0.01084231060830787,0.07246282708915006
15,0.8851375404530745,0.0784036956242782,0.08012063991607658,0.01800874788145812,0.07925286983591671
16,0.8860113268608414,0.0855457227138643,0.08746393915552059,0.025715289581060286,0.08649419697853855
17,0.8868608414239482,0.09243589743589743,0.0945449777078416,0.03315209365392624,0.09347854272008299
18,0.8878964401294498,0.10012836970474968,0.1022816679779701,0.041420985546370304,0.10119356512714064
19,0.8888106796116505,0.1068260701889703,0.1089693154996066,0.04860382834110599,0.10788704965920155
20,0.8896925566343042,0.11477301872274942,0.11736165748754261,0.05723666935018945,0.11605290456431534
21,0.8904611650485437,0.12217252396166134,0.12536060844479413,0.06533540862759635,0.12374603585528444
22,0.891504854368932,0.13055697496167604,0.13401521111985312,0.07440896077040104,0.13226349165264656
23,0.8922330097087379,0.13806254767353165,0.14240755310778913,0.08272996666963384,0.1402013942680093
24,0.8928883495145631,0.14515109369073206,0.15053763440860216,0.09066836315764104,0.14779530093337626
25,0.893883495145631,0.15393343419062028,0.16011014948859165,0.1003625671747369,0.15696104897801774
26,0.8947815533980582,0.16174066155200603,0.16863362182008917,0.10899404465472295,0.16511523399884445
27,0.8956877022653722,0.1697805642633229,0.17755048518227118,0.11793885353153022,0.1735786167553362
28,0.8965938511326861,0.17833520529140148,0.18738526094938368,0.12758937829565897,0.18274825756122517
29,0.8975970873786407,0.1877094972067039,0.1982690794649882,0.13821915177182809,0.1928448440788215
30,0.8983899676375404,0.19356441794011678,0.20430107526881722,0.14458537148452544,0.1987878787878788
31,0.8992637540453075,0.1999751274717075,0.2108575924468922,0.15153616054844699,0.20527222825046276
32,0.9003317152103559,0.20694392406644185,0.21728297928140572,0.1588227662107734,0.21198746241924135
33,0.9016990291262136,0.21475409836065573,0.22331497508523473,0.16652108785898057,0.21895088711751093
34,0.9033899676375404,0.22385767310892102,0.22934697088906372,0.17505423536332354,0.22656907830818057
35,0.9054288025889967,0.2341316581599267,0.23459218463152373,0.1839635716776059,0.23436169515949434
36,0.9074190938511327,0.24481882604626287,0.24009965906110675,0.19313816561032038,0.2424362793776895
37,0.9092313915857605,0.25501159143597435,0.24521374246000524,0.20172886153975478,0.250016712347082
38,0.9108414239482201,0.2649584487534626,0.25085234723314975,0.21032261798930518,0.2577125151555975
39,0.9124190938511327,0.27582340574632097,0.25806451612903225,0.22013203985193652,0.2666486010432898
40,0.9138511326860841,0.2862800565770863,0.26540781536847624,0.22972172979003158,0.2754491017964072
41,0.915331715210356,0.2967206071888873,0.2717020718594283,0.23876023998111773,0.28366075706756116
42,0.9171763754045308,0.30961061688785185,0.27838971938106477,0.24931396491489266,0.29317130428778576
43,0.9189077669902913,0.32273332347285905,0.2861264096511933,0.2604428812190973,0.30332939459234026
44,0.9206229773462783,0.3365255124943887,0.2949121426698138,0.2724147632930036,0.31434761339017403
45,0.921779935275081,0.3469265367316342,0.3034356150013113,0.2824132206654074,0.3237269166200336
46,0.9228883495145631,0.3572606024276937,0.3126147390506163,0.292719810140061,0.33344989160081123
47,0.9238187702265372,0.3661782296650718,0.32113821138211385,0.301934925071339,0.34218247869218943
48,0.9245873786407767,0.3736394811391084,0.32861264096511933,0.309830050116781,0.34968255075699434
49,0.9253883495145631,0.3817427385892116,0.3377917650144243,0.31897282714012576,0.35842493390844576
50,0.9260679611650485,0.38885621875918847,0.34683975872016787,0.3275268392606855,0.3666481840864985
51,0.9267556634304207,0.39533519143318174,0.35339627589824285,0.3344261026419464,0.37319116527037316
52,0.9272734627831716,0.40078614063182416,0.3610018358248099,0.3413387161990018,0.3798551224560194
53,0.9276860841423948,0.4048723897911833,0.36611591922370834,0.34620954734867937,0.3845200385621815
54,0.9282443365695793,0.41048538095923953,0.37372147915027537,0.3532059466334776,0.3912416775344911
55,0.9284951456310679,0.41355206847360915,0.38014686598478886,0.35821559182885576,0.3961464881115059
56,0.9288592233009709,0.4174565002121941,0.3869656438499869,0.3638724304340235,0.401633208574345
57,0.9292637540453075,0.421304776666197,0.3920797272488854,0.3686108216003138,0.4061672213543435
58,0.9296925566343042,0.42528089887640447,0.39706268030422237,0.37335071104779605,0.41068764410687647
59,0.9300323624595469,0.42879041248606464,0.4034880671387359,0.37857918476072094,0.41575462775300637
60,0.9303964401294499,0.43262998207143843,0.41135588775242593,0.3847195026084371,0.42172481010956514
61,0.9308090614886732,0.43659271432484253,0.4180435352740624,0.39031638394663337,0.42711682743837087
62,0.9312297734627831,0.4407537960954447,0.42630474691843695,0.3968130121164316,0.43340887881615786
63,0.9313511326860842,0.4425418060200669,0.43377917650144243,0.4015628982760323,0.43811668101450235
64,0.9318203883495145,0.4470308160296257,0.44322056123787046,0.40879700300380606,0.4451175347336538
65,0.9321278317152104,0.4499015101772817,0.4492525570416995,0.4134109453578657,0.4495767994226101
66,0.9323381877022654,0.45214907154914946,0.45659585628114346,0.41829534737912066,0.4543615841325765
67,0.9325647249190938,0.45429934252932835,0.46210333071072646,0.42221580288387406,0.45816810765130345
68,0.9327588996763754,0.4561740243122201,0.46747967479674796,0.4259028612106269,0.46175765818276016
69,0.9330501618122977,0.4586571537775513,0.47206923682140045,0.4295640370076861,0.4652665589660743
70,0.933495145631068,0.4622809245618491,0.47731445056386046,0.43421019904379077,0.4696774193548387
71,0.9338915857605178,0.46551069484875335,0.4822974036191975,0.4384976591098154,0.4737553938301024
72,0.9342799352750809,0.46862769852291375,0.4867558353002885,0.44246787269503285,0.4775197787354474
73,0.9346925566343042,0.47194262707599394,0.491869918699187,0.44686688520304385,0.48170026968023627
74,0.9349595469255664,0.4740022661462923,0.493705743509048,0.44896270590278664,0.4836534138351853
75,0.9353236245954692,0.47685534591194967,0.497115132441647,0.45227763093255535,0.4867745249101181
76,0.9356553398058253,0.47941065357007934,0.499213217938631,0.4547920991667266,0.48911158219310075
77,0.9360355987055016,0.48235887096774194,0.5019669551534225,0.4578512246153086,0.49196761341729855
78,0.936415857605178,0.4853256077591636,0.50524521374246,0.46117138970296623,0.49508512688724704
79,0.9367637540453074,0.4880533199195171,0.508916863362182,0.4645379223160423,0.4982667864937733
80,0.9370711974110032,0.4904594526738639,0.512326252294781,0.4675888762205245,0.5011544381734223
81,0.9374190938511326,0.49315756434400504,0.5150799895095726,0.47050049285946116,0.5038804438458087
82,0.9377993527508091,0.4961104140526976,0.5184893784421715,0.4738757361440281,0.5070530905360349
83,0.9381796116504855,0.499059089198344,0.5216365066876475,0.47712352384475265,0.5100980957876514
84,0.9385113268608414,0.5016278487352868,0.5253081563073695,0.48039670450438043,0.5131949782218806
85,0.9387783171521036,0.5036888833312492,0.5281930238657225,0.48299371567528604,0.5156500032004097
86,0.9389724919093851,0.5051829649057075,0.530422239706268,0.48494196976441795,0.5174950425382204
87,0.9392799352750809,0.5075483468496569,0.5334382376081825,0.4877819989479525,0.5201713445431878
88,0.9396116504854369,0.5101073122036436,0.5360608444794125,0.49054977897993146,0.5227621483375958
89,0.9399757281553398,0.5129036279765615,0.5394702334120115,0.49383321756263876,0.5258516009458681
90,0.9403640776699029,0.5158918110432507,0.542748492001049,0.49716819873532947,0.5289794875071889
91,0.940663430420712,0.5182044887780549,0.5449777078415945,0.4996024784781278,0.5312539946312157
92,0.940995145631068,0.5207476635514019,0.547993705743509,0.5025486650240115,0.5340233850872149
93,0.9411245954692556,0.5217012809352071,0.550091791240493,0.5041144197503051,0.5355205208399821
